,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,N1,N2,DIST,N,RMSD,GDT_TS,LGA_S3,LGA_Q,Target
T1092TS063_4,0.01122,0.195774,,0.111,0.099,0.05343,0.1915,0.1617,0.15376113,0.13069919,0.348,0.293,0.319,0.090547174,0.34,0.114279,063s,100.0,489.0,,-1.9,2.88,0.29,1.08,43.714,43.938,426.0,3.0,0.0,0.0,12.91,7.645,2.95,-1.51,0.0,0.0,,3.63,0.19,14.79,0.38,0.09,-0.04,2.51,0.5,35.4,1.64,-1.0,-1.0,0.13,,395.31,95.56,0.05,125.2,4.36,4.72,88.44,426.0,426.0,4.0,22.0,3.02,5.34,4.224,0.706,T1092
T1092TS195_1,0.11997,0.253708,,0.163,0.253,0.06739,0.2425,0.2158,0.2139087,0.19575484,0.520,0.405,0.408,0.09861911,0.42,0.144822,195s,100.0,461.0,-1.65,-1.7,5.99,1.81,3.54,38.915,39.032,426.0,0.0,0.0,0.0,11.27,7.223,2.63,-1.31,0.0,0.0,,2.52,0.24,27.58,0.47,0.23,0.17,2.17,0.51,43.1,1.99,-1.0,-1.0,0.13,,204.73,77.72,0.11,28.68,4.62,0.47,97.64,426.0,426.0,4.0,37.0,2.25,8.157,6.983,1.578,T1092
T1092TS063_3,0.01437,0.193521,,0.104,0.024,0.05393,0.1897,0.1801,0.14893028,0.13120517,0.391,0.273,0.326,0.12416109,0.348,0.140415,063s,100.0,494.0,,-1.92,2.99,0.8,1.17,90.887,91.185,426.0,0.0,0.0,0.0,10.56,6.397,2.22,-1.47,0.0,0.0,,3.27,0.17,14.09,0.38,0.09,-0.01,2.61,0.49,28.3,2.58,-1.0,-1.0,0.14,,2434.18,97.05,0.05,87.05,4.87,2.36,95.05,426.0,426.0,4.0,17.0,2.93,5.106,3.962,0.56,T1092
T1092TS170_5,0.01112,0.205689,,0.118,0.149,0.05260,0.1940,0.1969,0.16170234,0.1477888,0.289,0.308,0.321,0.09307789,0.373,0.146401,170s,100.0,484.0,,-1.88,2.99,0.15,1.03,29.895,30.179,426.0,0.0,0.0,0.23,12.68,6.221,2.88,-1.75,0.0,0.0,,3.34,0.19,13.62,0.39,0.09,0.15,2.48,0.5,38.9,1.64,-1.0,-1.0,0.16,,74.55,,0.05,92.81,2.31,4.01,86.32,426.0,426.0,4.0,22.0,2.94,5.692,4.625,0.725,T1092
T1092TS151_2,0.03536,0.227453,,0.135,0.186,0.06687,0.2525,0.2658,0.17747932,0.18062265,0.523,0.379,0.414,0.106789716,0.428,0.157251,151s,100.0,468.0,,-1.74,4.82,0.53,2.31,29.099,29.454,426.0,1.0,0.0,0.0,12.21,7.58,2.58,-1.03,0.0,0.0,,3.09,0.25,25.59,0.44,0.18,0.24,2.19,0.52,39.6,3.07,-1.0,-1.0,0.16,,106.97,,0.08,35.42,2.82,3.77,81.13,426.0,426.0,4.0,37.0,2.52,7.57,6.384,1.415,T1092
T1092TS063_5,0.00614,0.153721,,0.110,0.031,0.05625,0.1734,0.0916,0.1089927,0.0957803,0.326,0.239,0.270,0.11540452,0.292,0.119358,063s,100.0,493.0,,-1.91,3.46,0.14,1.1,153.764,154.142,426.0,5.0,0.0,0.0,12.68,8.437000000000001,2.47,-1.84,0.0,0.0,,3.5,0.16,12.91,0.36,0.07,0.04,2.61,0.51,17.8,2.58,-1.0,-1.0,0.11,,4654.15,95.5,0.05,109.42,4.62,2.12,91.75,426.0,426.0,4.0,21.0,2.83,5.164,4.174,0.716,T1092
T1092TS170_4,0.00732,0.182073,,0.112,0.078,0.05498,0.1873,0.1811,0.13050722,0.12519777,0.391,0.309,0.348,0.08036417,0.367,0.131777,170s,100.0,489.0,,-1.9,3.35,0.35,1.1,32.984,33.016,426.0,0.0,0.23,3.29,14.32,7.229,2.64,-1.55,0.0,0.0,,3.16,0.18,15.61,0.4,0.09,0.08,2.31,0.5,35.0,1.64,-1.0,-1.0,0.12,,146.85,,0.05,93.83,1.54,2.84,88.63,426.0,426.0,4.0,21.0,2.95,5.34,4.27,0.688,T1092
T1092TS317_1,0.12162,0.346493,,0.154,0.324,0.07224,0.2865,0.2097,0.3094214,0.21327198,0.432,0.350,0.375,0.15467313,0.395,0.145522,317s,100.0,448.0,-1.44,-1.48,5.58,1.18,2.23,27.629,27.66,426.0,4.0,1.64,6.81,17.37,10.765,2.51,-0.38,2.9,75.0,11.7,3.69,0.31,28.87,0.45,0.29,0.32,1.52,0.49,44.3,4.25,-1.0,-1.0,0.26,167.1,43.36,47.25,0.1,25.24,17.69,12.97,69.1,426.0,426.0,4.0,45.0,3.15,11.209,8.932,1.383,T1092
T1092TS031_2,0.35435,0.412753,,0.345,,0.07274,0.5978,0.5935,0.3476401,0.39905983,0.653,0.531,0.527,0.48664802,0.494,0.460053,031s,100.0,14.0,,1.92,37.44,22.34,32.91,5.867000000000001,6.347,426.0,0.0,63.62,79.11,79.11,58.743,2.06,10.51,25.9,401.0,3.7,1.31,0.62,80.99,0.63,0.7,0.94,0.3,0.89,70.8,7.24,-1.0,-1.0,0.82,3274.9,3.1,78.73,0.38,0.72,1.03,2.59,89.15,426.0,426.0,4.0,323.0,2.16,59.096,54.63,14.315,T1092
T1092TS170_1,0.01174,0.207251,,0.126,0.186,0.04775,0.1883,0.2207,0.1665712,0.14250346,0.463,0.340,0.351,0.084399104,0.382,0.188732,170s,100.0,495.0,-1.88,-1.94,2.7,0.62,1.23,32.351,32.804,426.0,1.0,0.0,0.0,13.15,8.802,2.9,-1.43,0.0,0.0,,3.12,0.17,13.15,0.39,0.04,-0.07,2.76,0.5,29.7,3.07,-1.0,-1.0,0.13,,257.44,,0.05,105.71,1.03,2.12,87.03,426.0,426.0,4.0,18.0,2.72,4.812,3.967,0.638,T1092
T1093TS070_4,0.20161,0.271657,,0.284,0.219,0.05980,0.3393,0.3414,0.2244657,0.24133122,0.607,0.465,0.492,0.13246158,0.48,0.619656,070s,100.0,407.0,,-1.05,5.68,2.53,3.58,35.205,35.633,629.0,0.0,0.0,0.16,12.56,7.365,2.9,-0.28,6.7,146.0,15.9,0.9,0.37,40.62,0.54,0.44,0.48,1.34,0.46,73.8,5.46,-1.0,-1.0,0.18,374.6,195.74,59.06,0.2,0.19,0.0,0.16,95.39,631.0,629.0,4.0,68.0,2.64,9.579,8.236,2.479,T1093
T1093TS063_5,0.01198,0.149358,,0.107,0.086,0.03889,0.1275,0.0935,0.1109727,0.09567393,0.322,0.232,0.279,0.17074385,0.294,0.246553,063s,100.0,477.0,,-1.63,2.11,0.57,1.05,320.728,321.981,629.0,1.0,0.0,0.0,7.63,5.67,2.27,-1.47,0.0,0.0,,3.27,0.14,6.28,0.33,0.06,0.14,2.46,0.5,20.3,1.99,-1.0,-1.0,0.12,,6171.92,96.76,0.05,77.77,3.39,2.07,91.26,631.0,629.0,4.0,21.0,2.47,3.657,2.972,0.8170000000000001,T1093
T1093TS138_1,0.05010,0.267468,,0.139,,0.05457,0.2128,0.1659,0.2256988,0.17295274,0.393,0.309,0.357,0.111941345,0.378,0.228710,138s,100.0,453.0,-1.47,-1.45,2.94,1.05,1.98,32.048,32.503,629.0,6.0,0.0,0.0,9.86,5.5310000000000015,2.77,-1.2,0.0,0.0,,3.57,0.24,17.81,0.41,0.19,0.24,1.87,0.48,46.8,3.29,-1.0,-1.0,0.17,,121.64,57.88,0.07,26.51,12.37,13.35,71.86,631.0,629.0,4.0,32.0,2.19,5.485,4.487,1.396,T1093
T1093TS031_4,0.24415,0.279925,,0.195,0.336,0.06923,0.3343,0.2689,0.2396214,0.29596636,0.518,0.409,0.443,0.1669007,0.432,0.357244,031s,100.0,53.0,,1.22,18.12,9.74,15.08,16.144000000000002,16.725,629.0,2.0,31.16,48.33,55.96,33.839,2.37,7.67,14.0,427.0,3.6,2.6,0.36,39.59,0.48,0.35,0.53,1.21,0.77,55.3,6.47,-1.0,-1.0,0.58,3091.4,47.12,72.28,0.16,7.48,3.9,6.52,79.97,631.0,629.0,4.0,263.0,2.44,32.512,27.924,10.347,T1093
T1093TS151_4,0.06659,0.202459,,0.114,0.052,0.05307,0.2026,0.1446,0.15772179,0.17963032,0.288,0.308,0.351,0.14146352,0.388,0.172467,151s,100.0,445.0,,-1.32,4.21,1.06,2.13,33.276,33.566,629.0,81.0,0.48,3.66,10.81,6.0539999999999985,2.64,-0.74,2.9,135.0,22.4,3.0,0.24,20.59,0.45,0.29,0.39,1.76,0.47,40.8,4.25,-1.0,-1.0,0.17,271.2,201.93,,0.1,62.48,0.85,7.15,80.45,631.0,629.0,4.0,39.0,2.61,6.836,5.33,1.4369999999999998,T1093
T1093TS326_4,0.21989,0.273453,,0.324,0.237,0.07023,0.3211,0.2572,0.2311031,0.24271545,0.584,0.439,0.468,0.13918175,0.47,0.622292,326s,100.0,378.0,,-0.88,6.67,2.69,5.23,21.182,21.624,629.0,28.0,5.41,12.08,15.1,10.257,2.37,0.05,4.8,230.0,14.1,2.97,0.34,39.51,0.52,0.4,0.61,1.02,0.55,65.6,4.89,-1.0,-1.0,0.3,685.2,46.1,,0.17,58.16,1.53,5.41,88.24,631.0,629.0,4.0,74.0,2.03,11.248,9.544,3.4730000000000003,T1093
T1093TS138_2,0.07441,0.267609,,0.141,0.150,0.05495,0.2060,0.1655,0.2282862,0.1630684,0.397,0.304,0.335,0.10875514,0.379,0.235752,138s,100.0,452.0,,-1.43,3.3,0.95,2.34,30.244,30.788,629.0,6.0,0.0,0.0,11.76,7.397,2.52,-0.98,0.0,0.0,,3.69,0.23,19.71,0.4,0.17,0.2,2.15,0.5,46.5,1.64,-1.0,-1.0,0.17,,140.67,58.75,0.06,31.85,13.73,12.72,70.27,631.0,629.0,4.0,33.0,2.05,5.684,4.553,1.537,T1093
T1093TS222_4,0.22590,0.271677,,0.334,0.214,0.07171,0.2906,0.2328,0.2144413,0.24416259,0.586,0.439,0.470,0.14873569,0.469,0.638086,222s,100.0,369.0,,-0.82,6.56,2.39,4.15,25.849,26.417,629.0,51.0,8.43,16.06,20.35,12.825,2.49,0.21,4.2,130.0,11.7,3.19,0.32,39.83,0.51,0.4,0.5,1.12,0.58,65.7,6.11,-1.0,-1.0,0.28,380.8,74.51,,0.17,77.96,1.69,6.68,85.37,631.0,629.0,4.0,81.0,2.64,11.884,10.107,2.954,T1093
T1093TS317_3,0.06101,0.262716,,0.129,0.136,0.05445,0.2169,0.1634,0.2280023,0.16749005,0.378,0.297,0.332,0.11342777,0.38,0.197259,317s,100.0,448.0,,-1.42,2.86,0.74,1.28,25.205,25.88,629.0,9.0,0.0,1.27,13.51,7.237,2.83,-1.13,0.0,0.0,,3.63,0.25,19.4,0.41,0.2,0.34,1.84,0.47,48.5,2.83,-1.0,-1.0,0.23,,115.44,60.06,0.07,24.57,14.92,12.72,68.36,631.0,629.0,4.0,32.0,2.97,5.803,4.572,1.043,T1093
T1093TS151_3,0.01236,0.166005,,0.116,0.230,0.04352,0.1869,0.2929,0.12082704,0.11605789,0.453,0.361,0.387,0.08867334,0.399,0.268073,151s,100.0,479.0,,-1.65,1.67,0.26,0.73,31.64,31.908,629.0,9.0,0.16,1.27,13.35,7.18,2.77,-1.29,0.0,0.0,,3.05,0.2,6.28,0.36,0.04,0.15,2.52,0.5,30.3,1.99,-1.0,-1.0,0.16,,97.72,,0.05,79.13,1.02,5.88,83.62,631.0,629.0,4.0,19.0,2.78,3.537,2.8360000000000003,0.66,T1093
T1093TS063_1,0.01953,0.153405,,0.104,0.059,0.03916,0.1762,0.2818,0.11344243,0.09961629,0.375,0.289,0.321,0.11376092,0.348,0.178413,063s,100.0,479.0,-1.66,-1.65,1.71,0.28,0.78,80.78399999999998,81.27,629.0,3.0,0.0,0.16,13.51,7.492000000000001,2.77,-1.77,0.0,0.0,,3.58,0.18,7.71,0.35,0.05,0.04,2.4,0.5,26.3,1.64,-1.0,-1.0,0.13,,1060.24,96.94,0.05,130.4,2.88,2.23,85.53,631.0,629.0,4.0,19.0,2.78,3.537,2.955,0.659,T1093
T1093TS151_1,0.02310,0.205316,,0.124,0.239,0.04575,0.1777,0.2514,0.15936494,0.15688424,0.498,0.371,0.399,0.09574928,0.416,0.261480,151s,100.0,460.0,-1.55,-1.54,3.02,0.93,1.95,30.069000000000006,30.162,629.0,6.0,0.16,0.95,11.76,7.487,2.58,-1.07,0.0,0.0,,3.18,0.21,15.34,0.4,0.14,0.16,2.4,0.49,36.2,2.3,-1.0,-1.0,0.16,,116.21,,0.06,70.11,1.53,7.31,81.08,631.0,629.0,4.0,30.0,2.3,4.65,3.871,1.248,T1093
T1093TS063_3,0.01141,0.161379,,0.106,0.070,0.04254,0.1499,0.0981,0.12188884,0.105437145,0.357,0.257,0.289,0.15719017,0.313,0.209583,063s,100.0,475.0,,-1.63,2.31,0.09,0.84,211.718,212.748,629.0,4.0,0.0,0.0,9.86,6.189,2.55,-1.5,2.2,66.0,10.6,3.47,0.16,7.95,0.35,0.1,0.08,2.33,0.49,27.1,2.83,-1.0,-1.0,0.11,182.3,2813.23,96.3,0.04,112.05,4.75,1.91,93.16,631.0,629.0,4.0,22.0,2.5,3.736,3.0410000000000004,0.845,T1093
T1093TS364_5,0.19737,0.300067,,0.258,0.266,0.06623,0.2605,0.2069,0.2628649,0.21944109,0.401,0.351,0.375,0.1432718,0.409,0.409269,364s,100.0,399.0,,-1.0,5.33,2.07,3.36,25.682,26.116,629.0,107.0,4.29,10.65,18.76,10.974,2.5,0.11,0.0,0.0,,3.83,0.18,33.15,0.44,0.31,0.38,1.42,0.58,54.1,4.74,-1.0,-1.0,0.29,,82.68,84.66,0.12,188.58,2.37,12.34,73.08,631.0,629.0,4.0,68.0,2.65,10.056,8.066,2.472,T1093
T1093TS151_2,0.01406,0.174466,,0.116,0.206,0.04415,0.1710,0.2806,0.12794194,0.11771758,0.454,0.341,0.367,0.09145978,0.398,0.294646,151s,100.0,471.0,,-1.59,1.83,0.33,0.81,30.435,30.815,629.0,5.0,0.16,0.95,13.04,6.504,2.69,-1.13,0.0,0.0,,2.96,0.19,7.08,0.36,0.04,0.14,2.42,0.51,26.2,1.99,-1.0,-1.0,0.18,,127.75,,0.05,59.91,0.68,7.15,81.56,631.0,629.0,4.0,23.0,2.93,4.134,3.194,0.758,T1093
T1093TS063_2,0.01208,0.176687,,0.101,0.086,0.03764,0.1388,0.1349,0.12599963,0.10555937,0.332,0.258,0.291,0.08507957,0.33,0.143344,063s,100.0,481.0,,-1.68,1.75,0.34,0.97,32.829,33.055,629.0,15.0,0.0,0.0,12.24,6.33,2.92,-1.16,0.0,0.0,,3.89,0.19,8.59,0.34,0.06,0.11,2.27,0.5,24.5,2.3,-1.0,-1.0,0.14,,159.66,97.28,0.05,162.83,4.24,4.45,79.65,631.0,629.0,4.0,20.0,2.51,3.18,2.728,0.767,T1093
T1093TS170_1,0.02960,0.206964,,0.118,0.199,0.04081,0.1584,0.1816,0.16007992,0.14382064,0.470,0.337,0.369,0.09674707,0.387,0.259914,170s,100.0,467.0,-1.57,-1.56,2.98,0.91,1.99,28.175,28.619,629.0,4.0,0.0,0.0,12.4,7.957000000000002,2.67,-0.95,0.0,0.0,,3.19,0.17,12.72,0.39,0.1,0.1,2.42,0.48,36.1,2.58,-1.0,-1.0,0.18,,157.12,,0.04,86.92,2.2,3.18,90.94,631.0,629.0,4.0,27.0,1.94,4.452,3.641,1.3219999999999998,T1093
T1093TS317_5,0.05901,0.268228,,0.144,0.223,0.05993,0.2286,0.1697,0.2293101,0.17979169,0.417,0.325,0.346,0.11503611,0.386,0.235467,317s,100.0,433.0,,-1.19,3.81,1.51,2.56,26.403,26.98,629.0,6.0,0.32,4.29,14.31,8.256,2.59,-0.8,2.0,127.0,12.5,3.5,0.25,21.86,0.42,0.21,0.36,1.73,0.56,47.4,4.42,-1.0,-1.0,0.26,299.9,90.22,58.49,0.08,21.17,13.9,11.29,73.45,631.0,629.0,4.0,48.0,2.63,8.148,6.316,1.758,T1093
T1093TS238_1,0.20879,0.295324,,0.383,0.302,0.06619,0.4988,0.5334,0.2444217,0.2536592,0.697,0.514,0.523,0.12433836,0.513,0.698338,238s,100.0,318.0,-0.62,-0.59,7.63,2.65,4.23,32.497,32.968,629.0,0.0,10.33,14.15,16.53,12.273,2.28,0.45,11.6,141.0,24.7,1.09,0.42,51.59,0.57,0.51,0.5,0.94,0.58,68.0,5.6,-1.0,-1.0,0.3,613.3,78.98,,0.24,3.01,0.17,0.16,99.21,631.0,629.0,4.0,94.0,2.85,14.149,12.608,3.1830000000000003,T1093
T1093TS170_5,0.02161,0.188975,,0.113,0.157,0.04129,0.1621,0.1687,0.13836798,0.12949203,0.427,0.304,0.338,0.09002279,0.372,0.232430,170s,100.0,468.0,,-1.56,2.7,0.62,1.39,36.553,36.754,629.0,0.0,0.16,0.16,11.92,7.202000000000001,2.77,-1.16,0.0,0.0,,3.46,0.17,12.48,0.38,0.07,0.07,2.47,0.5,41.0,2.3,-1.0,-1.0,0.14,,186.04,,0.05,109.17,3.05,2.07,88.55,631.0,629.0,4.0,24.0,2.24,4.412,3.554,1.025,T1093
T1094TS151_3,0.00447,0.187636,,0.124,0.151,0.04709,0.1819,0.2409,0.12590633,0.14975116,0.482,0.320,0.349,0.08124052,0.396,0.295408,151s,100.0,480.0,,-1.49,2.12,0.2,0.6,27.163,27.62,484.0,1.0,0.83,2.07,13.84,7.318,2.61,-1.28,0.0,0.0,,3.07,0.17,9.61,0.35,0.04,0.14,2.49,0.5,29.3,2.83,-1.0,-1.0,0.17,,148.44,,0.04,57.12,1.49,5.87,81.98,496.0,484.0,4.0,18.0,2.99,4.39,3.528,0.583,T1094
T1094TS259_2,0.02761,0.244045,,0.202,0.242,0.06001,0.2792,0.3026,0.17229704,0.21093842,0.581,0.381,0.421,0.095486686,0.412,0.275690,259s,100.0,456.0,,-1.38,3.41,0.8,1.82,31.845,32.38,484.0,0.0,0.0,0.0,14.26,6.627999999999999,2.71,-1.31,0.0,0.0,,3.47,0.18,18.8,0.41,0.15,0.14,2.15,0.5,40.5,2.3,-1.0,-1.0,0.17,,127.46,93.67,0.08,211.69,0.43,7.09,83.4,496.0,484.0,4.0,28.0,2.38,5.992000000000001,5.112,1.127,T1094
T1094TS278_2,0.07243,0.294666,,0.253,0.352,0.07112,0.3457,0.4265,0.2216561,0.22742876,0.712,0.523,0.531,0.09520778,0.494,0.404679,278s,100.0,426.0,,-1.27,5.37,2.64,4.02,34.657,34.919000000000004,484.0,2.0,0.0,0.0,11.78,6.806,2.7,-0.94,0.0,0.0,,1.17,0.23,22.0,0.45,0.21,0.16,1.93,0.51,51.3,3.89,-1.0,-1.0,0.16,,163.65,55.43,0.1,3.77,0.21,0.2,98.58,496.0,484.0,4.0,43.0,2.08,7.645,6.817,1.973,T1094
T1094TS151_1,0.01332,0.233382,,0.143,0.175,0.06858,0.2202,0.2898,0.16359095,0.19880603,0.606,0.409,0.437,0.08807451,0.433,0.227308,151s,100.0,454.0,-1.34,-1.38,3.82,0.66,1.66,29.135,29.709,484.0,10.0,0.0,0.0,13.64,7.888,2.68,-1.24,0.0,0.0,,3.25,0.2,16.94,0.43,0.16,0.19,2.29,0.49,38.7,2.83,-1.0,-1.0,0.16,,150.48,,0.07,50.81,2.77,6.28,79.96,496.0,484.0,4.0,29.0,2.5,6.042999999999998,4.89,1.115,T1094
T1094TS042_2,0.21525,0.428167,,0.384,0.481,0.06502,0.6126,0.6257,0.3678791,0.40455666,0.699,0.550,0.517,0.20675153,0.492,0.607831,042s,100.0,68.0,,1.43,27.48,13.27,19.52,8.787,9.382,484.0,0.0,42.98,64.26,66.53,42.90600000000001,2.51,9.01,24.5,424.0,3.9,1.37,0.54,71.38,0.58,0.61,0.82,0.44,0.89,65.2,6.7,-1.0,-1.0,0.74,3581.0,6.48,77.21,0.31,0.49,1.71,2.23,90.89,496.0,484.0,4.0,295.0,2.62,48.192,45.379,10.835,T1094
T1094TS278_1,0.11712,0.274111,,0.298,0.310,0.06465,0.3505,0.4723,0.2029424,0.23376116,0.744,0.536,0.535,0.09035826,0.505,0.509799,278s,100.0,448.0,-1.32,-1.36,4.13,1.13,2.43,33.888000000000005,34.394,484.0,1.0,0.41,0.62,12.81,7.336,2.75,-0.91,0.0,0.0,,0.74,0.22,22.73,0.46,0.21,0.18,2.0,0.49,60.8,2.58,-1.0,-1.0,0.17,,157.38,64.31,0.12,0.73,0.0,0.2,97.98,496.0,484.0,4.0,32.0,2.43,6.353,5.434,1.264,T1094
T1094TS170_3,0.00471,0.195518,,0.117,0.131,0.04589,0.1706,0.2065,0.13195703,0.15203021,0.510,0.347,0.384,0.07312811,0.382,0.204979,170s,100.0,483.0,,-1.5,2.38,0.39,1.08,32.104,32.475,484.0,3.0,0.41,0.83,11.78,7.512,2.77,-1.61,0.0,0.0,,3.71,0.15,9.92,0.35,0.03,0.02,2.76,0.5,31.8,1.99,-1.0,-1.0,0.14,,149.21,,0.04,128.63,4.9,3.04,87.45,496.0,484.0,4.0,21.0,2.66,4.184,3.523,0.76,T1094
T1094TS151_2,0.00552,0.185711,,0.132,0.190,0.04950,0.1788,0.2794,0.13524995,0.1503037,0.485,0.385,0.397,0.08121662,0.401,0.321254,151s,100.0,475.0,,-1.46,2.69,0.6,1.17,26.781,27.344,484.0,2.0,0.0,0.0,13.22,5.772,2.65,-1.76,0.0,0.0,,3.23,0.17,9.4,0.35,0.03,0.03,2.52,0.5,33.5,1.64,-1.0,-1.0,0.17,,105.5,,0.05,49.95,2.35,6.48,76.52,496.0,484.0,4.0,25.0,2.74,4.907,4.177,0.879,T1094
T1094TS170_5,0.01148,0.217897,,0.108,0.153,0.04977,0.1942,0.2051,0.15301721,0.17564173,0.525,0.342,0.364,0.070920385,0.408,0.164390,170s,100.0,466.0,,-1.42,3.15,0.9,2.28,31.333,31.743,484.0,0.0,3.51,4.34,17.36,9.961,2.5,-0.87,0.0,0.0,,3.21,0.15,15.39,0.39,0.1,0.07,2.6,0.5,34.5,3.7,-1.0,-1.0,0.15,,175.07,,0.04,84.47,2.56,1.82,91.3,496.0,484.0,4.0,22.0,1.71,5.424,4.332,1.218,T1094
T1094TS052_5,0.01737,0.219837,,0.113,0.051,0.04695,0.1578,0.1285,0.16042147,0.17324178,0.315,0.296,0.328,0.096442565,0.338,0.124106,052s,100.0,467.0,,-1.44,3.31,0.67,1.51,37.291,37.454,484.0,5.0,0.0,0.0,11.16,6.9289999999999985,2.83,-1.53,0.0,0.0,,3.09,0.16,12.19,0.39,0.14,0.23,2.58,0.5,45.7,2.83,-1.0,-1.0,0.12,,296.31,19.68,0.06,74.17,0.0,8.1,79.15,496.0,484.0,4.0,24.0,2.65,5.165,4.248,0.873,T1094
T1094TS169_1,0.04126,0.208561,,0.110,0.126,0.05194,0.2132,0.1378,0.16120231,0.18564188,0.345,0.327,0.354,0.12422167,0.389,0.107949,169s,100.0,418.0,-1.16,-1.19,5.21,1.86,3.21,55.535,55.907,484.0,0.0,4.75,10.54,13.02,8.472999999999999,2.66,-0.65,0.0,0.0,,1.77,0.18,14.57,0.41,0.18,0.36,2.58,0.53,37.3,4.42,-1.0,-1.0,0.16,,798.87,,0.07,0.36,3.84,3.44,82.59,496.0,484.0,4.0,47.0,2.7,8.936,7.632999999999999,1.679,T1094
T1094TS317_1,0.02662,0.255939,,0.122,0.184,0.06340,0.2344,0.1896,0.2012307,0.19443457,0.420,0.293,0.325,0.10063611,0.383,0.165768,317s,100.0,437.0,-1.28,-1.32,4.08,0.99,1.84,25.533,26.0,484.0,3.0,0.0,0.62,13.43,8.107000000000001,2.86,-1.13,0.0,0.0,,3.45,0.25,18.29,0.42,0.21,0.37,1.73,0.45,47.4,3.29,-1.0,-1.0,0.21,,81.88,49.62,0.08,20.05,13.01,11.54,73.48,496.0,484.0,4.0,34.0,2.71,7.025,5.853,1.21,T1094
T1094TS259_1,0.03751,0.249449,,0.203,0.192,0.06062,0.2424,0.2478,0.17677254,0.20195822,0.568,0.364,0.379,0.0882902,0.4,0.319931,259s,100.0,445.0,-1.31,-1.35,3.67,1.68,2.39,34.769,34.921,484.0,0.0,0.0,0.0,10.54,6.353,2.87,-1.09,0.0,0.0,,3.54,0.17,19.32,0.41,0.14,0.11,2.24,0.5,41.2,1.99,-1.0,-1.0,0.17,,205.18,94.48,0.07,239.56,0.21,8.91,82.39,496.0,484.0,4.0,31.0,2.46,6.457000000000002,5.3039999999999985,1.21,T1094
T1094TS278_3,0.05542,0.284157,,0.260,0.303,0.06481,0.3018,0.4359,0.2082259,0.22841816,0.710,0.491,0.506,0.08787508,0.493,0.425415,278s,100.0,448.0,,-1.36,4.24,0.94,2.13,33.208,33.241,484.0,2.0,0.0,5.17,13.43,9.321,2.49,-1.13,0.0,0.0,,0.98,0.2,19.63,0.43,0.16,0.12,2.19,0.51,53.3,1.99,-1.0,-1.0,0.15,,180.92,46.62,0.08,2.07,0.0,0.2,97.98,496.0,484.0,4.0,39.0,2.73,6.353,5.55,1.379,T1094
T1094TS138_2,0.02182,0.270561,,0.121,0.235,0.05847,0.2305,0.1750,0.2051515,0.19098684,0.406,0.320,0.336,0.105958946,0.376,0.167963,138s,100.0,439.0,,-1.32,3.72,0.3,1.32,25.932,26.653,484.0,7.0,0.83,3.31,13.43,7.712999999999999,2.8,-0.94,0.0,0.0,,3.53,0.25,15.5,0.41,0.19,0.38,1.76,0.52,41.1,2.58,-1.0,-1.0,0.2,,81.37,50.34,0.07,22.85,12.79,10.12,70.04,496.0,484.0,4.0,30.0,2.89,6.973,5.3870000000000005,1.004,T1094
T1094TS063_3,0.00593,0.157452,,0.115,0.046,0.04889,0.1805,0.1076,0.1114273,0.13020155,0.298,0.261,0.306,0.11586669,0.335,0.174628,063s,100.0,476.0,,-1.46,2.69,0.34,0.84,132.981,133.011,484.0,1.0,0.0,0.0,11.36,6.687,2.67,-1.46,0.0,0.0,,3.6,0.16,12.09,0.35,0.06,0.01,2.85,0.52,24.7,1.64,-1.0,-1.0,0.13,,4441.17,96.16,0.04,116.17,5.54,3.64,91.5,496.0,484.0,4.0,21.0,3.11,4.855,3.875,0.654,T1094
T1094TS278_5,0.07039,0.280651,,0.227,0.303,0.06208,0.3724,0.5206,0.2083265,0.22532931,0.723,0.541,0.530,0.087879315,0.503,0.407721,278s,100.0,435.0,,-1.31,4.96,1.85,3.33,31.997,32.53,484.0,3.0,0.0,0.0,13.22,7.662000000000001,2.91,-1.05,0.0,0.0,,1.03,0.24,23.97,0.46,0.22,0.14,1.97,0.49,53.0,2.58,-1.0,-1.0,0.15,,155.14,55.3,0.11,2.07,0.21,0.0,97.77,496.0,484.0,4.0,42.0,2.32,7.0760000000000005,6.26,1.739,T1094
